name,operator,address,lat,lon,point_type,opening_hours,phone,prepare_instruction
WOJEWÓDZKI SPECJALISTYCZNY SZPITAL IM. DR WŁ. BIEGAŃSKIEGO,,ŁÓDŹ 91-347 GEN. KAROLA KNIAZIEWICZA 1/5,51.760932,19.460718,hospital,24/7,422516059,
SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE,,BEŁCHATÓW 97-400 CZAPLINIECKA 123,51.37577335,19.3504204830224,hospital,24/7,446358200,
SZPITAL POWIATOWY W RADOMSKU,,RADOMSKO 97-500 JAGIELLOŃSKA 36,51.0568465,19.4592206288969,hospital,24/7,446854716,
TOMASZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z O.O,,TOMASZÓW MAZOWIECKI 97-200 JANA PAWŁA II 35,51.5225067,20.005331,hospital,24/7,447257134,
WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB,,ŁÓDŹ 91-520 OKÓLNA 181,51.848275,19.480145,hospital,24/7,426590011,
SZPITAL WOJEWÓDZKI IM. PRYMASA KARDYNAŁA STEFANA WYSZYŃSKIEGO W,,SIERADZ 98-200 ARMII KRAJOWEJ 7,51.5820613,18.7104555,hospital,24/7,438275426,
WOJEWÓDZKI SZPITAL ZESPOLONY IM. STANISŁAWA RYBICKIEGO W SKIERNIEWICACH,,SKIERNIEWICE 96-100 DR. STANISŁAWA RYBICKIEGO 1,51.964806,20.153644,hospital,24/7,468340750,
"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,KUTNO 99-300 KOŚCIUSZKI 52,52.23900645,19.3717782587223,hospital,24/7,243880202,
WOJEWÓDZKA STACJA RATOWNICTWA MEDYCZNEGO W ŁODZI,,ŁÓDŹ 91-202 WARECKA 2,51.7970845,19.4013861,transport,24/7,426361565,
ZESPÓŁ TRANSPORTU SANITARNEGO,,ŁÓDŹ WARECKA 91-202 2,51.7970845,19.4013861,transport,24/7,426557671,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ - CURIE W ZGIERZU,,ZGIERZ 95-100 PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,427163712,
DRAVIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,NOWY TOMYŚL 64-300 HENRYKA SIENKIEWICZA 3,52.31529,16.14136,hospital,24/7,614427190,
