,nazwa,adres,telefon,geo,geo_lat,geo_lon
0,WIELOSPECJALISTYCZNY SZPITAL MIEJSKI IM. JÓZEFA STRUSIA Z ZAKŁADEM OPIEKUŃCZO - LECZNICZYM. SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ Z SIEDZIBĄ W POZNANIU PRZY UL. SZWAJCARSKIEJ 3.,"POZNAŃ 61-285, UL. SZWAJCARSKA 3",61 873 90 000,"('52.3895197', '16.995482')",52.3895197,16.995482
1,WOJEWÓDZKI SZPITAL ZESPOLONY IM. DR. ROMANA OSTRZYCKIEGO W KONINIE,"KONIN 62-504, UL. SZPITALNA 45",63 240 43 000,"('52.1913128', '18.2331492')",52.1913128,18.2331492
2,WOJEWÓDZKI SZPITAL ZESPOLONY IM.LUDWIKA PERZYNY W KALISZU,"KALISZ 62-800, UL. POZNAŃSKA 79",62 765 13 56,"('51.76522785', '18.0663836371474')",51.76522785,18.0663836371474
3,SZPITAL POWIATOWY IM. ROMANA DREWSA W CHODZIEŻY,ŻEROMSKIEGO 29 64-800 CHODZIEŻ,67 282 92 21,"('52.9880523', '16.9157074')",52.9880523,16.9157074
4,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W TURKU,PODUCHOWNE 1 62-700 TUREK,63 280 55 08,"('52.01025685', '18.4908246978452')",52.01025685,18.4908246978452
5,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KĘPNIE,SZPITALNA 7 63-600 KĘPNO,62 782 73 09,"('51.27677275', '17.9837785574281')",51.27677275,17.9837785574281
6,WOJEWÓDZKI SZPITAL ZESPOLONY W LESZNIE,KIEPURY 45 64-100 LESZNO,65 525 31 13,"('51.839971', '16.607773')",51.839971,16.607773
7,WOJEWÓDZKA STACJA POGOTOWIA RATUNKOWEGO SP ZOZ W POZNANIU,RYCERSKA 10 60-346 POZNAŃ,61 864 88 12,"('52.4026134', '16.8746127750869')",52.4026134,16.8746127750869
8,SZPITAL POWIATOWY W ŚREMIE SP. Z O.O.,CHEŁMOŃSKIEGO 1 63-100 ŚREM,61 281 54 43,"('52.09089', '17.007673')",52.09089,17.007673
9,WIELKOPOLSKIE CENTRUM RATOWNICTWA MEDYCZNEGO SP. Z O.O W KONINIE,KARD. S. WYSZYŃSKIEGO 1 62-510 KONIN,63 245 19 51,"('52.236918', '18.270295')",52.236918,18.270295
10,SZPITAL MIEJSKI ŚW. JANA PAWŁA II W ELBLĄGU,"ELBLĄG, 82-300, UL. JANA AMOSA KOMEŃSKIEGO 35",55 230 42 58,"('54.1555301', '19.4263318171208')",54.1555301,19.4263318171208
11,SZPITAL  W OSTRÓDZIE SPÓŁKA AKCYJNA,"OSTRÓDA, 14-100, UL. WŁADYSŁAWA JAGIEŁŁY 1",668207209,"('53.6934863', '19.9716919')",53.6934863,19.9716919
12,WOJEWÓDZKI SPECJALISTYCZNY SZPITAL DZIECIĘCY IM. PROF. DR STANISŁAWA POPOWSKIEGO W OLSZTYNIE,"OLSZTYN, 10-651, UL. ŻOŁNIERSKA 18 A",89 539 34 21,"('53.769173', '20.491182')",53.769173,20.491182
