name,operator,address,lat,lon,point_type,opening_hours,phone,prepare_instruction
WOJEWÓDZKI SPECJALISTYCZNY SZPITAL IM. DR WŁ. BIEGAŃSKIEGO,,ŁÓDŹ 91-347 UL. GEN. KAROLA KNIAZIEWICZA 1/5,51.760932,19.460718,hospital,24/7,42 251 60 59,
WOJEWÓDZKI SPECJALISTYCZNY SZPITAL IM. DR WŁ. BIEGAŃSKIEGO,,ŁÓDŹ 91-347 UL. GEN. KAROLA KNIAZIEWICZA 1/5,51.760932,19.460718,hospital,24/7,42 251 60 59,
SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE,,BEŁCHATÓW 97-400  UL. CZAPLINIECKA 123,51.37577335,19.3504204830224,hospital,24/7,44 635 82 00,
SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE,,BEŁCHATÓW 97-400  UL. CZAPLINIECKA 123,51.37577335,19.3504204830224,hospital,24/7,44 635 82 00,
SZPITAL POWIATOWY W RADOMSKU,,RADOMSKO 97-500 UL. JAGIELLOŃSKA 36,51.0568465,19.4592206288969,hospital,24/7,44 685 47 16,
SZPITAL POWIATOWY W RADOMSKU,,RADOMSKO 97-500 UL. JAGIELLOŃSKA 36,51.0568465,19.4592206288969,hospital,24/7,44 685 47 16,
TOMASZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z O.O,,TOMASZÓW MAZOWIECKI 97-200 UL. JANA PAWŁA II 35,51.5225067,20.005331,hospital,24/7,44 725 71 34,
TOMASZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z O.O,,TOMASZÓW MAZOWIECKI 97-200 UL. JANA PAWŁA II 35,51.5225067,20.005331,hospital,24/7,44 725 71 34,
WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB,,ŁÓDŹ 91-520 UL.OKÓLNA 181,51.848275,19.480145,hospital,24/7,42 659 00 11,
WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB,,ŁÓDŹ 91-520 UL.OKÓLNA 181,51.848275,19.480145,hospital,24/7,42 659 00 11,
SZPITAL WOJEWÓDZKI IM. PRYMASA KARDYNAŁA STEFANA WYSZYŃSKIEGO W,,SIERADZ 98-200 UL. ARMII KRAJOWEJ 7,51.5820613,18.7104555,hospital,24/7,43 827 54 26,
SZPITAL WOJEWÓDZKI IM. PRYMASA KARDYNAŁA STEFANA WYSZYŃSKIEGO W,,SIERADZ 98-200 UL. ARMII KRAJOWEJ 7,51.5820613,18.7104555,hospital,24/7,43 827 54 26,
WOJEWÓDZKI SZPITAL ZESPOLONY IM. STANISŁAWA RYBICKIEGO W SKIERNIEWICACH,,SKIERNIEWICE 96-100 UL. DR. STANISŁAWA RYBICKIEGO 1,51.964806,20.153644,hospital,24/7,46 834 07 50,
WOJEWÓDZKI SZPITAL ZESPOLONY IM. STANISŁAWA RYBICKIEGO W SKIERNIEWICACH,,SKIERNIEWICE 96-100 UL. DR. STANISŁAWA RYBICKIEGO 1,51.964806,20.153644,hospital,24/7,46 834 07 50,
"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA
Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,KUTNO 99-300 UL. KOŚCIUSZKI 52,52.23900645,19.3717782587223,hospital,24/7,24 388 02 02,
"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA
Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,KUTNO 99-300 UL. KOŚCIUSZKI 52,52.23900645,19.3717782587223,hospital,24/7,24 388 02 02,
WOJEWÓDZKA STACJA RATOWNICTWA MEDYCZNEGO W ŁODZI,,ŁÓDŹ 91-202 UL. WARECKA 2,51.7970845,19.4013861,transport,24/7,42 636 15 65,
ZESPÓŁ TRANSPORTU SANITARNEGO,,"91-202 ŁÓDŹ, UL. WARECKA 2",51.7970845,19.4013861,transport,24/7,42 655 76 71,
ZESPÓŁ TRANSPORTU SANITARNEGO,,"99-300 KUTNO, UL. KOŚCIUSZKI 52",52.23900645,19.3717782587223,transport,24/7,42 655 76 71,
ZESPÓŁ TRANSPORTU SANITARNEGO,,"98-100 ŁASK, UL. 9 MAJA 50",51.5888072,19.1407040039778,transport,24/7,42 655 76 71,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ - CURIE W ZGIERZU,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,42 716 37 12,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ - CURIE W ZGIERZU,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,42 716 37 12,
DRAVIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,NOWY TOMYŚL 64-300 UL. HENRYKA SIENKIEWICZA 3,52.31529,16.14136,hospital,24/7,61 44 27 190,
STACJA DIALIZ,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,42 714 44 40,
AMERICAN HEART OF POLAND SPÓŁKA AKCYJNA,,USTROŃ 43-450 UL. SANATORYJNA,49.7069779,18.8330128,hospital,24/7,32 76 04 600,
ZGIERSKIE CENTRUM KARDIOLOGII MED - PRO POLSKO-AMERYKAŃSKICH KLINIK SERCA,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,42 231 47 10,
WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,,"KIELCE, 25-736, UL. GRUNWALDZKA 45",50.8733192,20.6009163600855,hospital,24/7,41-367-13-01,
WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,,"KIELCE,  25-317, UL RADIOWA 7",50.87486545,20.6376982470513,hospital,24/7,41-363-71-31,
POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ W STARACHOWICACH,,"STARACHOWICE, 27-200, RADOMSKA 70",51.0641001,21.0723778,hospital,24/7,41-273-91-13,
POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ W STARACHOWICACH,,"STARACHOWICE, 27-200, RADOMSKA 70",51.0641001,21.0723778,hospital,24/7,41-273-91-45 LUB 41-273-99-09,
ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,,"BUSKO-ZDRÓJ, 28-100, UL BOHATERÓW
WARSZAWY 67",50.468389,20.705502,hospital,24/7,41-378-24-04 WEWN. 337,
ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,,"BOHATERÓW WARSZAWY 67, 28-100 BUSKO-ZDRÓJ",50.4680352,20.7046523104,hospital,24/7,41-378-24-01 WEW. 237 LUB WEW. 335,
ŚWIĘTOKRZYSKIE CENTRUM PSYCHIATRII W MORAWICY,,"MORAWICA , 26-026, UL SPACEROWA 5",50.78622,20.61331,hospital,24/7,41-36-41-234,
UZDROWISKO BUSKO-ZDRÓJ S.A.,,"BUSKO-ZDRÓJ, 28-100,
UL. GEN. F. RZEWUSKIEGO 1",50.467279,20.719308,hospital,24/7,41-370-32-00,
"SANATORIUM UZDROWISKOWE ""MIKOŁAJ""",,"BUSKO-ZDRÓJ, 28-100,
UL. 1 MAJA 3",50.4611425,20.7207556,hospital,24/7,"41-370-32-26, 500-721-966 145",
ŚWIĘTOKRZYSKIE CENTRUM RATOWNICTWA MEDYCZNEGO I TRANSPORTU SANITARNEGO W,,"KIELCE, 25-311, ŚW. LEONARDA 10",50.879655,20.628806,transport,24/7,41-344-65-03; 41-344-26-47,
ŚWIĘTOKRZYSKIE CENTRUM RATOWNICTWA MEDYCZNEGO I TRANSPORTU SANITARNEGO W,,"KIELCE, 25-311, ŚW. LEONARDA 10",50.879655,20.628806,transport,24/7,41-344-65-03; 41-344-26-47,
ŚWIĘTOKRZYSKIE CENTRUM RATOWNICTWA MEDYCZNEGO I TRANSPORTU SANITARNEGO W,,"STARACHOWICE, 27-200, BORKOWSKIEGO 2",51.050684,21.069466,transport,24/7,41-344-65-03; 41-344-26-47,
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CZŁUCHOWIE,,CZŁUCHÓW / 77-300 / UL. SZCZECIŃSKA 16,53.6609588,17.3536314,hospital,24/7,59 834 24 59,
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CZŁUCHOWIE,,CZŁUCHÓW / 77-300 / UL. SZCZECIŃSKA 16,53.6609588,17.3536314,hospital,24/7,59 834 24 59,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA KORCZAKA W SŁUPSKU SPÓŁKA Z,,SŁUPSK / 76-200 / UL. HUBALCZYKÓW 1,54.4516851,17.0637619,hospital,24/7,59 846 06 00,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. JANUSZA KORCZAKA W SŁUPSKU SPÓŁKA Z,,USTKA / 76-271 / UL. MICKIEWICZA 12,54.58638515,16.8631634811451,hospital,24/7,59 846 06 00,
SZPITAL SPECJALISTYCZNY IM. J. K. ŁUKOWICZA W CHOJNICACH,,CHOJNICE / 89-600 / UL. LEŚNA 10,53.7124365,17.5483145,hospital,24/7,52 395 67 69,
SZPITAL SPECJALISTYCZNY IM. J. K. ŁUKOWICZA W CHOJNICACH,,CHOJNICE / 89-600 / UL. LEŚNA 10,53.7124365,17.5483145,hospital,24/7,52 395 67 69,
7 SZPITAL MARYNARKI WOJENNEJ Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY,,GDAŃSK80-305UL. POLANKI 117,54.393883,18.56726,hospital,24/7,58 552 63 26,
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW,,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,54.3507893,18.6353301,hospital,24/7,58 309 82 00 / 58 303 12 64,
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW,,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,54.3507893,18.6353301,hospital,24/7,58 309 82 00 / 58 303 12 64,
UNIWERSYTECKIE CENTRUM MEDYCYNY MORSKIEJ I TROPIKALNEJ,,GDYNIA / 81-519 / UL. POWSTANIA STYCZNIOWEGO 9B,54.4874074,18.5488374,hospital,24/7,58 699 85 06,
UNIWERSYTECKIE CENTRUM MEDYCYNY MORSKIEJ I TROPIKALNEJ,,GDYNIA / 81-519 / UL. POWSTANIA STYCZNIOWEGO 9B,54.4874074,18.5488374,hospital,24/7,58 699 85 06,
SZPITALE TCZEWSKIE SPÓŁKA AKCYJNA,,TCZEW / 83-110 / UL. WOJSKA POLSKIEGO 5,54.08610005,18.789810645151,hospital,24/7,58 777 66 73,
SZPITALE TCZEWSKIE SPÓŁKA AKCYJNA,,GNIEW / 83-140 / OSIEDLE WITOSA 10,53.8386111,18.8302778,hospital,24/7,58 777 66 73,
SZPITALE TCZEWSKIE SPÓŁKA AKCYJNA,,TCZEW / 83-110 / UL. 1 MAJA 2,54.0905936,18.7976830138493,hospital,24/7,58 777 66 73,
POMORSKIE CENTRUM TOKSYKOLOGII SPÓŁKA Z OGRANICZONĄ,,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,54.3507893,18.6353301,hospital,24/7,58 682 04 04 / 58 682 19 39,
POMORSKIE CENTRUM TOKSYKOLOGII SPÓŁKA Z OGRANICZONĄ,,GDAŃSK / 80-104 / UL. KARTUSKA 4/6,54.3507893,18.6353301,hospital,24/7,58 682 04 04 / 58 682 19 39,
SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W GDAŃSKU SPÓŁKA Z,,GDAŃSK / 80-308 / UL. POLANKI 119,54.39553395,18.5610613991729,hospital,24/7,58 520 93 00,
SZPITAL DZIECIĘCY POLANKI IM. MACIEJA PŁAŻYŃSKIEGO W GDAŃSKU SPÓŁKA Z,,GDAŃSK / 80-308 / UL. POLANKI 119,54.39553395,18.5610613991729,hospital,24/7,58 520 93 00,
