name,operator,address,lat,lon,point_type,opening_hours,phone,prepare_instruction
WOJEWÓDZKI SPECJALISTYCZNY SZPITAL IM. DR WŁ. BIEGAŃSKIEGO,,ŁÓDŹ 91-347 UL. GEN. KAROLA KNIAZIEWICZA 1/5,51.760932,19.460718,hospital,24/7,422516059,
SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE,,BEŁCHATÓW 97-400  UL. CZAPLINIECKA 123,51.37577335,19.3504204830224,hospital,24/7,446358200,
SZPITAL POWIATOWY W RADOMSKU,,RADOMSKO 97-500 UL. JAGIELLOŃSKA 36,51.056846500000006,19.4592206288969,hospital,24/7,446854716,
TOMASZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z O.O,,TOMASZÓW MAZOWIECKI 97-200 UL. JANA PAWŁA II 35,51.5225067,20.005331,hospital,24/7,447257134,
WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB,,ŁÓDŹ 91-520 UL.OKÓLNA 181,51.848275,19.480145,hospital,24/7,426590011,
SZPITAL WOJEWÓDZKI IM. PRYMASA KARDYNAŁA STEFANA WYSZYŃSKIEGO W,,SIERADZ 98-200 UL. ARMII KRAJOWEJ 7,51.58206129999999,18.7104555,hospital,24/7,438275426,
WOJEWÓDZKI SZPITAL ZESPOLONY IM. STANISŁAWA RYBICKIEGO W SKIERNIEWICACH,,SKIERNIEWICE 96-100 UL. DR. STANISŁAWA RYBICKIEGO 1,51.964806,20.153644,hospital,24/7,468340750,
"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA
Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,KUTNO 99-300 UL. KOŚCIUSZKI 52,52.23900645,19.3717782587223,hospital,24/7,243880202,
WOJEWÓDZKA STACJA RATOWNICTWA MEDYCZNEGO W ŁODZI,,ŁÓDŹ 91-202 UL. WARECKA 2,51.7970845,19.4013861,transport,24/7,426361565,
ZESPÓŁ TRANSPORTU SANITARNEGO,,"91-202 ŁÓDŹ, UL. WARECKA 2",51.7970845,19.4013861,transport,24/7,426557671,
WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ - CURIE W ZGIERZU,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,427163712,
DRAVIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,NOWY TOMYŚL 64-300 UL. HENRYKA SIENKIEWICZA 3,52.31529000000001,16.14136,hospital,24/7,614427190,
STACJA DIALIZ,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,427144440,
AMERICAN HEART OF POLAND SPÓŁKA AKCYJNA,,USTROŃ 43-450 UL. SANATORYJNA,49.7069779,18.8330128,hospital,24/7,327604600,
ZGIERSKIE CENTRUM KARDIOLOGII MED - PRO POLSKO-AMERYKAŃSKICH KLINIK SERCA,,ZGIERZ 95-100 UL. PARZĘCZEWSKA 35,51.862656,19.3914339,hospital,24/7,422314710,
WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,,"KIELCE, 25-736, UL. GRUNWALDZKA 45",50.87331920000001,20.6009163600855,hospital,24/7,413671301,
WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,,"KIELCE,  25-317, UL RADIOWA 7",50.87486545,20.6376982470513,hospital,24/7,413637131,
POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ W STARACHOWICACH,,"STARACHOWICE, 27-200, RADOMSKA 70",51.0641001,21.0723778,hospital,24/7,412739113,
POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ W STARACHOWICACH,,"STARACHOWICE, 27-200, RADOMSKA 70",51.0641001,21.0723778,hospital,24/7,412739145,
ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,,"BUSKO-ZDRÓJ, 28-100, UL BOHATERÓW
WARSZAWY 67",50.468389,20.705502,hospital,24/7,413782404,
ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,,"BOHATERÓW WARSZAWY 67, 28-100 BUSKO-ZDRÓJ",50.4680352,20.7046523104,hospital,24/7,413782401,
ŚWIĘTOKRZYSKIE CENTRUM PSYCHIATRII W MORAWICY,,"MORAWICA , 26-026, UL SPACEROWA 5",50.78622,20.61331,hospital,24/7,413641234,
UZDROWISKO BUSKO-ZDRÓJ S.A.,,"BUSKO-ZDRÓJ, 28-100,
UL. GEN. F. RZEWUSKIEGO 1",50.467279,20.719308,hospital,24/7,413703200,
"SANATORIUM UZDROWISKOWE ""MIKOŁAJ""",,"BUSKO-ZDRÓJ, 28-100,
UL. 1 MAJA 3",50.4611425,20.7207556,hospital,24/7,413703226,
ŚWIĘTOKRZYSKIE CENTRUM RATOWNICTWA MEDYCZNEGO I TRANSPORTU SANITARNEGO W,,"KIELCE, 25-311, ŚW. LEONARDA 10",50.879655,20.628806,transport,24/7,413446503,
